DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
726183.8333333334,0,5.0,0.006309958147841858,0.0007905670975291559,3.1,-6.414724680562358,5.796874210607065,6.5016,35.0,4.2812442825285857e-07
726183.875,0,5.0,0.006309958147841858,0.0007905670975291559,3.1,-6.414724680562358,5.799016396182237,6.5016,35.0,4.2812442825285857e-07
726183.9166666666,0,5.0,0.0059028640737875445,0.0007905670975291559,2.6,-6.6473766902308284,5.801162225937562,6.5016,35.0,4.005034973978355e-07
726183.9583333334,0,5.0,0.0059028640737875445,0.0007905670975291559,3.1,-6.6473766902308284,5.803311698769099,6.5016,35.0,4.005034973978355e-07
726184.0,0,5.0,0.006309958147841858,0.0007905670975291559,3.1,-6.414724680562358,5.80546481357103,6.9048,35.0,4.2812442825285857e-07
726184.0416666666,0,5.0,0.006309958147841858,0.0007905670975291559,4.1,-6.414724680562358,5.807621569235662,6.9048,35.0,4.2812442825285857e-07
726184.0833333334,0,6.0,0.006738092721254449,0.0007877350463110682,4.6,-5.260499215095706,5.809781964653432,6.9048,35.0,4.881924034432492e-07
726184.125,0,6.0,0.006738092721254449,0.0007877350463110682,3.6,-5.260499215095706,5.811945998712903,6.9048,35.0,4.881924034432492e-07
726184.1666666666,0,7.0,0.007191308149516989,0.0007849232131991243,3.6,-4.121003057659834,5.814113670300768,6.9048,35.0,5.560743322721446e-07
726184.2083333334,0,7.0,0.007732589408082782,0.0007849232131991243,3.1,-3.8948330412528662,5.81628497830184,6.9048,35.0,5.979293895399402e-07
726184.25,2,8.0,0.008248200781714189,0.0007821313824568191,2.6,-2.549636304907949,5.818459921599078,6.9048,35.0,6.803281613547056e-07
726184.2916666666,26,8.0,0.008248200781714189,0.0007821313824568191,3.1,-2.549636304907949,5.820638499073555,6.9048,35.0,6.803281613547056e-07
726184.3333333334,87,8.0,0.008248200781714189,0.0007821313824568191,4.1,-2.549636304907949,5.822820709604482,6.9048,35.0,6.803281613547056e-07
726184.375,150,10.0,0.009369779995945347,0.0007766068803734228,4.6,-0.35123989388597465,5.8250065520692,6.9048,35.0,8.779277717241757e-07
726184.4166666666,302,11.0,0.009978630617741435,0.0007738737926367577,6.2,0.9427035704799209,5.827196025343178,6.9048,35.0,9.957306900532682e-07
726184.4583333334,265,12.0,0.009984240355552633,0.00077115987437396,7.2,2.0071612827447325,5.829389128300023,6.9048,35.0,1.0604793135898484e-06
726184.5,253,12.0,0.009984240355552633,0.00077115987437396,7.7,2.0071612827447325,5.831585859811466,6.9048,35.0,1.0604793135898484e-06
726184.5416666666,248,12.0,0.009984240355552633,0.00077115987437396,7.7,2.0071612827447325,5.833786218747385,6.9048,35.0,1.0604793135898484e-06
726184.5833333334,223,12.0,0.009984240355552633,0.00077115987437396,8.2,2.0071612827447325,5.835990203975778,6.9048,35.0,1.0604793135898484e-06
726184.625,179,12.0,0.009984240355552633,0.00077115987437396,6.7,2.0071612827447325,5.838197814362785,6.9048,35.0,1.0604793135898484e-06
726184.6666666666,120,12.0,0.010621532293141098,0.00077115987437396,7.7,2.218576852667752,5.840409048772679,6.9048,35.0,1.1281694825423921e-06
726184.7083333334,56,13.0,0.010622057445545653,0.0007684649246120381,8.8,3.0594067191289582,5.842623906067868,6.9048,35.0,1.200298982728424e-06
726184.75,7,14.0,0.011294898391906628,0.0007657887451775541,4.6,4.306433483985984,5.844842385108898,6.9048,35.0,1.3571779753563291e-06
726184.7916666666,0,12.0,0.010621532293141098,0.00077115987437396,7.2,2.218576852667752,5.847064484754449,6.9048,35.0,1.1281694825423921e-06
726184.8333333334,0,11.0,0.009978630617741435,0.0007738737926367577,6.2,0.9427035704799209,5.8492902038613375,6.9048,35.0,9.957306900532682e-07
